Dom 22:30;11
Dom 23:00;9
Dom 23:30;10
Lun 00:00;9
Lun 00:30;9
Lun 01:00;6
Lun 01:30;4
Lun 02:00;4
Lun 02:30;6
Lun 03:00;8
Lun 03:30;8
Lun 04:00;11
Lun 04:30;16
Lun 05:00;21
Lun 05:30;18
Lun 06:00;20
Lun 06:30;20
Lun 07:00;21
Lun 07:30;24
Lun 08:00;19
Lun 08:30;21
Lun 09:00;23
Lun 09:30;25
Lun 10:00;23
Lun 10:30;22
Lun 11:00;23
Lun 11:30;20
Lun 12:00;20
Lun 12:30;15
Lun 13:00;15
Lun 13:30;12
Lun 14:00;14
Lun 14:30;15
Lun 15:00;20
Lun 15:30;20
Lun 16:00;19
Lun 16:30;20
Lun 17:00;18
Lun 17:30;21
Lun 18:00;23
Lun 18:30;22
Lun 19:00;22
Lun 19:30;22
Lun 20:00;22
Lun 20:30;21
Lun 21:00;23
Lun 21:30;17
Lun 22:00;15
Lun 22:30;9
Lun 23:00;9
Lun 23:30;9
Mar 00:00;10
Mar 00:30;13
Mar 01:00;11
Mar 01:30;10
Mar 02:00;10
